User_Type,Budget($),Purchased_Items
Clinic,10729,"SM3291, SM4467, SM4820, SM4544, SM4487"
Surgeon,14852,"SM1632, SM2600"
Procurement Officer,2400,"SM2818, SM2763"
Hospital,31158,"SM1981, SM2701, SM5155, SM4625"
Surgeon,12855,"SM2030, SM2737, SM2001, SM3762"
Hospital,30934,"SM4519, SM4323"
Clinic,12946,"SM2945, SM2032, SM5179, SM5216, SM4890"
Clinic,17916,"SM4425, SM1815, SM4960, SM4560, SM3781"
Clinic,9045,"SM3034, SM2731, SM2821, SM1734"
Procurement Officer,3546,"SM1630, SM3085"
Surgeon,12254,"SM2854, SM1849, SM4414, SM2787"
Surgeon,8362,"SM2823, SM3702"
Clinic,14669,"SM5003, SM1839, SM2586"
Surgeon,5364,"SM2826, SM3230"
Procurement Officer,7318,"SM3512, SM3145"
Clinic,9942,"SM4303, SM3851"
Surgeon,13703,"SM3725, SM4646, SM1709, SM2847"
Surgeon,5121,"SM4848, SM1885, SM4799"
Procurement Officer,4010,"SM4364, SM1915, SM1809"
Surgeon,12623,"SM2825, SM3052, SM2560"
Surgeon,3889,SM3784
Hospital,43401,"SM4970, SM1637, SM4813"
Surgeon,6844,"SM1960, SM4352, SM2062, SM2061"
Clinic,11571,"SM3088, SM3579"
Surgeon,8730,"SM4229, SM2704"
Hospital,15866,"SM5169, SM2734, SM5125, SM2481"
Clinic,16337,"SM1929, SM1671, SM4440, SM2591"
Surgeon,13454,"SM4886, SM3274, SM3091, SM4413, SM4274"
Surgeon,13456,"SM1821, SM3282, SM4525"
Hospital,10336,"SM5156, SM4313"
Surgeon,9799,"SM2117, SM2124, SM1853, SM4654, SM5154"
Hospital,29378,"SM4815, SM4870, SM4249, SM2162"
Clinic,11206,"SM3129, SM5034, SM3082, SM1595"
Surgeon,3466,"SM0745, SM6149, SM3066, SM1634"
Hospital,36301,SM4630
Hospital,24358,"SM5156, SM4330"
Hospital,21126,"SM2923, SM4817, SM1748, SM4634, SM3076"
Surgeon,4923,"SM3628, SM2841, SM3739, SM5198, SM1916"
Clinic,14913,SM3081
Procurement Officer,6335,"SM4596, SM1827"
Procurement Officer,4808,SM3231
Clinic,10369,"SM5173, SM1627, SM2074, SM2055"
Clinic,9553,"SM1847, SM4681, SM1732, SM4975"
Procurement Officer,5643,"SM2133, SM4519, SM4209, SM1987"
Procurement Officer,3112,"SM4793, SM3548, SM2170"
Hospital,40439,"SM2800, SM4661, SM3538"
Procurement Officer,6098,"SM2932, SM4220"
Procurement Officer,4470,"SM3745, SM4314, SM2055, SM4877"
Surgeon,12245,SM4828
Clinic,6530,SM4637
Surgeon,5337,"SM2799, SM4515, SM4519, SM2465, SM4554"
Procurement Officer,4997,"SM3261, SM1847, SM4830, SM2823, SM3103"
Surgeon,10460,"SM4438, SM3720, SM4218, SM3847, SM4328"
Procurement Officer,4937,"SM4222, SM2726"
Hospital,30328,SM4865
Clinic,11197,"SM1973, SM1856, SM2706, SM5033"
Hospital,24728,SM2673
Procurement Officer,7028,"SM1687, SM3754, SM2095, SM4340"
Clinic,18371,"SM3783, SM4431, SM1889"
Procurement Officer,6727,"SM3849, SM2939, SM1754"
Surgeon,14666,"SM1922, SM2734"
Surgeon,8078,"SM4800, SM4239, SM4813, SM5136, SM4691"
Surgeon,5881,"SM2030, SM4321, SM1024"
Surgeon,4424,"SM2612, SM2575, SM1634, SM1980, SM2459"
Hospital,40232,SM1791
Hospital,24761,"SM1744, SM2115"
Procurement Officer,5885,SM5158
Hospital,10559,"SM4467, SM5205, SM4514"
